dispute_id,payment_id,reason_code,amount,respond_by,has_avs_match,has_cvv_match,has_delivery_confirmation,has_device_fingerprint_match,has_duplicate_transaction_proof,has_item_description_match,has_product_photos,has_refund_already_issued,has_return_communication,has_signature_confirmation,has_tracking_number,would_win
D000156,pay_31702866,duplicate_charge,3036.41,2026-06-05,False,True,False,False,False,,True,,False,True,True,False
D008973,pay_66585650,item_not_as_described,6723.06,2026-10-17,True,,,True,,,False,False,True,,True,True
D004686,pay_14305781,item_not_as_described,6197.29,2026-02-25,True,,True,True,False,False,True,False,False,True,True,False
D022450,pay_57292755,item_not_as_described,5832.74,2026-09-13,False,True,True,False,True,,True,False,False,True,,True
D006257,pay_03484292,unauthorized_transaction,6200.18,2026-01-14,,False,True,True,True,False,True,,,True,False,False
D002297,pay_10393865,unauthorized_transaction,760.16,2026-09-30,False,,False,True,,False,True,True,True,,True,False
D003847,pay_57316326,duplicate_charge,769.82,2026-04-01,True,False,True,True,True,False,False,,False,True,False,True
D024801,pay_13063269,duplicate_charge,6474.89,2026-03-03,,True,False,True,,True,False,True,True,False,False,False
D028718,pay_61046694,item_not_as_described,2642.39,2026-08-28,False,False,False,True,False,False,False,True,True,True,True,True
D002042,pay_70822714,duplicate_charge,7997.5,2026-07-02,True,True,False,True,True,True,True,True,,True,True,True
D005696,pay_98149231,unauthorized_transaction,3357.22,2026-06-10,True,True,True,True,False,True,False,,False,True,False,True
D028728,pay_34390997,unauthorized_transaction,2260.74,2026-07-02,False,True,True,,False,False,False,False,True,True,True,False
D004444,pay_89094512,unauthorized_transaction,5712.85,2026-09-23,False,False,True,False,True,False,True,True,True,True,True,False
D012425,pay_41301529,item_not_as_described,4603.04,2026-10-27,True,False,True,True,,True,True,True,True,False,False,False
D000791,pay_05160879,item_not_as_described,3003.96,2026-07-02,True,True,True,False,True,True,False,False,True,,True,True
D027728,pay_87316836,unauthorized_transaction,6115.76,2026-08-01,True,True,False,True,True,,True,True,False,,,False
D002283,pay_38565906,item_not_as_described,1429.15,2026-05-11,,,True,False,False,True,True,False,,False,,False
D003495,pay_03783552,item_not_as_described,3829.33,2026-08-15,,False,True,True,False,True,,,True,False,True,True
D024427,pay_19736704,item_not_received,456.31,2026-08-04,False,False,False,True,True,False,True,False,False,True,False,False
D009096,pay_59031562,item_not_as_described,2941.24,2026-05-11,True,False,True,False,,False,True,True,False,True,False,False
D013612,pay_09989838,item_not_received,7753.07,2026-02-13,True,,False,False,False,False,True,False,False,,,False
D012068,pay_03365019,item_not_as_described,7268.92,2026-06-24,False,False,False,False,True,True,True,False,False,True,False,True
